Date;Open;High;Low;Close;minutes
2014.05.14 17:45;0.9377;0.9378;0.9377;0.9377;67990
2014.05.14 17:50;0.9377;0.9381;0.9377;0.938;67985
2014.05.14 17:55;0.938;0.938;0.9378;0.9378;67980
2014.05.14 18:00;0.9378;0.9379;0.9378;0.9379;67975
2014.05.14 18:05;0.9379;0.9381;0.9379;0.938;67970
2014.05.14 18:10;0.938;0.938;0.9379;0.9379;67965
2014.05.14 18:15;0.9379;0.938;0.9378;0.938;67960
2014.05.14 18:20;0.938;0.9382;0.938;0.9382;67955
2014.05.14 18:25;0.9382;0.9383;0.9381;0.9383;67950
2014.05.14 18:30;0.9383;0.9383;0.9381;0.9382;67945
2014.05.14 18:35;0.9382;0.9384;0.9381;0.9382;67940
2014.05.14 18:40;0.9382;0.9382;0.9381;0.9381;67935
2014.05.14 18:45;0.9381;0.9381;0.9381;0.9381;67930
2014.05.14 18:50;0.9381;0.9381;0.9378;0.9381;67925
2014.05.14 18:55;0.9381;0.9382;0.938;0.938;67920
2014.05.14 19:00;0.938;0.938;0.9378;0.9379;67915
2014.05.14 19:05;0.9379;0.9381;0.9379;0.938;67910
2014.05.14 19:10;0.938;0.9381;0.938;0.9381;67905
2014.05.14 19:15;0.9381;0.9382;0.9381;0.9381;67900
2014.05.14 19:20;0.9381;0.9381;0.938;0.9381;67895
2014.05.14 19:25;0.9381;0.9382;0.9381;0.9381;67890
2014.05.14 19:30;0.9381;0.9382;0.938;0.9381;67885
2014.05.14 19:35;0.9381;0.9381;0.938;0.9381;67880
2014.05.14 19:40;0.9381;0.9382;0.938;0.9381;67875
2014.05.14 19:45;0.9381;0.9382;0.938;0.938;67870
