Date,CAD,EUR,JPY,KRW,MXN,NOK,PLN,CHF,GBP,USD,,
20-Jan-2016,0.495819,0.788958,0.00618248,0.000597859,0.0388731,0.0816302,0.176958,0.721402,1.02405,0.72335,,
19-Jan-2016,0.499004,0.78712,0.00615968,,0.0398058,0.0818136,0.177006,0.719721,1.03583,0.724255,,
15-Jan-2016,0.497508,0.788842,0.006118,0.000596009,0.0396896,0.0820986,0.178857,0.719757,1.03733,0.72278,,
14-Jan-2016,0.50237,0.786537,0.00615145,0.000598522,0.0403111,0.0818705,0.180559,0.720688,1.03861,0.722057,,
13-Jan-2016,0.506961,0.783781,0.00612916,0.000599628,0.0405966,0.0819962,0.180855,0.719256,1.04292,0.72465,,
12-Jan-2016,0.506271,0.783998,0.00614239,0.000598636,0.0403928,0.0813374,0.180113,0.723512,1.04417,0.723512,,
11-Jan-2016,0.508077,0.785813,,0.000603347,0.0402514,0.0812039,0.180048,0.724477,1.05141,0.721724,,
8-Jan-2016,0.510471,0.784564,0.00610624,0.000602124,0.0402921,0.081042,0.180759,0.722946,1.0548,0.722368,,
7-Jan-2016,0.513742,0.785075,0.00612181,0.000605053,0.0409119,0.0809563,0.18021,0.722156,1.05221,0.722373,,
6-Jan-2016,0.51465,0.778616,0.00611673,0.000610283,0.0415589,0.0809164,,0.718581,1.06282,0.724833,,
5-Jan-2016,0.518022,0.778943,0.00606483,0.000612065,0.0417897,0.0812414,0.180887,0.717691,1.06331,0.724868,,
4-Jan-2016,0.51591,0.785392,0.00603025,0.00061491,0.0415305,0.0814092,0.183467,0.721685,1.06444,0.720675,,
31-Dec-2015,0.521417,0.785651,,0.000615735,0.0418374,0.0819209,0.184984,0.727387,1.0694,0.721641,,
30-Dec-2015,0.519342,0.787825,0.00598386,0.0006175,0.0415838,0.0819288,0.185834,0.727971,1.06788,0.721055,,
29-Dec-2015,0.519795,0.788452,0.00598285,0.000617954,0.0418398,0.0828947,0.186222,0.728218,1.0672,0.719916,,
28-Dec-2015,,0.788437,0.00597182,0.000614215,0.0416447,0.0826625,0.18603,0.728498,,0.719246,,
24-Dec-2015,0.519926,0.788006,0.00595399,0.000614353,0.0416669,,0.186028,0.729836,1.07407,0.719837,,
23-Dec-2015,0.519903,0.786591,,0.00061269,0.0419059,0.0825639,0.185374,0.728894,1.07281,0.720585,,
22-Dec-2015,0.517263,0.789086,0.00594223,0.000611522,0.0419265,0.0826872,0.185757,0.727626,1.07159,0.720495,,
21-Dec-2015,0.516228,0.785035,0.00595631,0.000609814,0.0422257,0.0821292,0.184235,0.725978,1.07594,0.722203,,
18-Dec-2015,0.520639,0.783173,0.00590001,0.000613072,0.04248,0.082439,0.182707,0.726748,1.0782,0.722751,,
17-Dec-2015,0.517603,0.783903,0.00590278,0.000613725,0.042286,0.0824204,0.182387,0.724976,1.07856,0.723091,,
16-Dec-2015,0.521821,0.787585,0.00591052,0.00060899,0.0420386,0.0824217,0.181711,0.727798,1.08236,0.720374,,
15-Dec-2015,0.522616,0.788474,0.00592344,0.000604879,0.0418266,0.0830455,0.181526,0.728668,1.08736,0.717447,,
14-Dec-2015,0.523022,0.788872,0.00594001,0.000608855,0.0413329,0.0824361,0.180946,0.731134,1.08602,0.718266,,
11-Dec-2015,0.524528,0.786641,0.00589234,0.000610101,0.041384,0.0824698,0.180874,0.727856,1.08837,0.718394,,
