Date,Bullish,Bearish,,
27/03/2014,1.25,0.52,,
26/03/2014,1.4,0.39,,
25/03/2014,1.26,0.57,,
24/03/2014,1.18,0.4,,
23/03/2014,2.85,0,,
22/03/2014,0.97,0.5,,
21/03/2014,1.11,0.6,,
20/03/2014,1.47,0.47,,
19/03/2014,1.39,0.33,,
18/03/2014,1.24,0.5,,
17/03/2014,1.13,0.71,,
16/03/2014,1.74,0.27,,
15/03/2014,0.43,0.67,,
14/03/2014,0.91,1,,
13/03/2014,1.38,0.55,,
12/03/2014,1.05,0.42,,
11/03/2014,1.19,0.6,,
10/03/2014,1.49,0.31,,
09/03/2014,1.76,0,,
08/03/2014,2.42,0,,
07/03/2014,1.09,0.65,,
06/03/2014,1.39,0.31,,
05/03/2014,1.51,0.36,,
04/03/2014,1.54,0.27,,
03/03/2014,1.16,0.66,,
02/03/2014,1.41,0.28,,
01/03/2014,1.35,0.22,,
28/02/2014,1.35,0.55,,
27/02/2014,1.18,0.63,,
26/02/2014,1.03,0.7,,
25/02/2014,1.33,0.27,,
24/02/2014,1.14,0.6,,
23/02/2014,1.74,0,,
22/02/2014,1.98,0,,
21/02/2014,1.6,0.22,,
20/02/2014,1.1,0.66,,
19/02/2014,0.92,0.61,,
18/02/2014,0.96,0.8,,
17/02/2014,1,0.26,,
16/02/2014,2.28,0,,
15/02/2014,0.93,0.07,,
14/02/2014,1.24,0.58,,
13/02/2014,0.82,0.95,,
12/02/2014,1.36,0.64,,
11/02/2014,1.27,0.36,,
10/02/2014,1.25,0.39,,
09/02/2014,0.68,0.67,,
08/02/2014,1.3,0.03,,
07/02/2014,1.16,0.51,,
06/02/2014,1.19,0.62,,
05/02/2014,1.15,0.3,,
04/02/2014,0.96,0.56,,
03/02/2014,1.08,0.91,,
02/02/2014,0.78,1.05,,
01/02/2014,0.44,1.31,,
31/01/2014,1.27,0.5,,
30/01/2014,1.12,0.44,,
29/01/2014,1.2,0.71,,
28/01/2014,1.34,0.42,,
27/01/2014,1.12,0.59,,
26/01/2014,1.37,0.24,,
25/01/2014,1.36,0.17,,
24/01/2014,1.06,0.63,,
23/01/2014,0.94,0.98,,
22/01/2014,1.58,0.53,,
21/01/2014,1,0.72,,
20/01/2014,1.23,0.35,,
19/01/2014,0.71,1.21,,
18/01/2014,1.41,0.09,,
17/01/2014,0.9,0.67,,
16/01/2014,1.39,0.64,,
15/01/2014,1.38,0.52,,
14/01/2014,1.22,0.56,,
13/01/2014,1.12,0.65,,
12/01/2014,1.43,0.17,,
11/01/2014,1.38,0.37,,
10/01/2014,1.32,0.3,,
09/01/2014,1.51,0.52,,
08/01/2014,0.99,0.47,,
07/01/2014,1.16,0.59,,
06/01/2014,1.28,0.24,,
05/01/2014,1.04,0.7,,
04/01/2014,1.63,0.19,,
03/01/2014,1.92,0.12,,
02/01/2014,1.65,0.28,,
01/01/2014,2.22,0,,
31/12/2013,3,0,,
30/12/2013,0.15,0.97,,
29/12/2013,2.17,0,,
28/12/2013,1.54,0.05,,
27/12/2013,1.62,0.46,,
26/12/2013,1.11,1.19,,
25/12/2013,1.52,0.15,,
24/12/2013,1.52,0.46,,
23/12/2013,1.24,0.98,,
22/12/2013,0.93,0.04,,
21/12/2013,1.94,0,,
20/12/2013,1.12,0.43,,
19/12/2013,1.17,0.5,,
18/12/2013,1.4,0.27,,
17/12/2013,1.47,0.18,,
16/12/2013,1.63,0.26,,
15/12/2013,1.15,0.57,,
14/12/2013,1.65,0,,
13/12/2013,1.21,0.58,,
12/12/2013,1.15,0.47,,
11/12/2013,1.28,0.74,,
10/12/2013,1.16,0.68,,
09/12/2013,1.21,0.44,,
08/12/2013,1.17,0.12,,
07/12/2013,1.66,0.59,,
06/12/2013,0.97,0.7,,
05/12/2013,1.02,0.7,,
04/12/2013,1.24,0.53,,
03/12/2013,0.9,0.83,,
02/12/2013,1.43,0.72,,
01/12/2013,1.7,0.43,,
30/11/2013,1.46,0.39,,
29/11/2013,1.69,0.21,,
28/11/2013,1.11,0.34,,
27/11/2013,0.89,0.74,,
26/11/2013,1.12,0.37,,
25/11/2013,1.2,0.6,,
24/11/2013,1.91,0,,
23/11/2013,1.51,0.23,,
22/11/2013,1.34,0.46,,
21/11/2013,1.22,0.62,,
20/11/2013,1.5,0.3,,
19/11/2013,1.51,0.32,,
18/11/2013,1.41,0.55,,
17/11/2013,1.61,0.39,,
16/11/2013,1.56,0.1,,
15/11/2013,1.49,0.21,,
14/11/2013,1.45,0.3,,
13/11/2013,1.16,0.61,,
12/11/2013,0.93,0.71,,
11/11/2013,1.45,0.41,,
10/11/2013,1.67,0.1,,
09/11/2013,2.3,0,,
08/11/2013,1.38,0.4,,
07/11/2013,0.97,0.91,,
06/11/2013,1.13,0.54,,
05/11/2013,0.62,1.3,,
04/11/2013,1.04,0.48,,
03/11/2013,1.15,0.24,,
02/11/2013,0.85,1.01,,
01/11/2013,1.04,0.59,,
31/10/2013,1.27,0.73,,
30/10/2013,1.26,0.54,,
29/10/2013,0.9,0.83,,
28/10/2013,1.15,0.62,,
27/10/2013,1.67,0.25,,
26/10/2013,0.76,0.9,,
25/10/2013,1.42,0.5,,
24/10/2013,1.24,0.57,,
23/10/2013,1.3,0.54,,
22/10/2013,1.03,0.38,,
21/10/2013,1.06,0.42,,
20/10/2013,0.38,0.47,,
19/10/2013,1.84,0.33,,
18/10/2013,1.4,0.29,,
17/10/2013,1.08,0.81,,
16/10/2013,1.43,0.65,,
15/10/2013,1.38,0.39,,
14/10/2013,1.63,0.33,,
13/10/2013,1.41,0.08,,
12/10/2013,1.48,0.16,,
11/10/2013,1.27,0.69,,
10/10/2013,1.29,0.64,,
09/10/2013,0.85,0.74,,
08/10/2013,0.73,1.1,,
07/10/2013,0.76,0.64,,
06/10/2013,0.24,0.24,,
04/10/2013,1.36,0.33,,
03/10/2013,1.32,0.6,,
02/10/2013,1.1,0.45,,
01/10/2013,1.13,0.28,,
30/09/2013,0.97,0.62,,
29/09/2013,1.37,0.59,,
28/09/2013,0.44,1.36,,
27/09/2013,1.03,0.57,,
26/09/2013,0.8,0.65,,
25/09/2013,1.06,0.64,,
24/09/2013,1.17,0.54,,
23/09/2013,0.75,0.86,,
22/09/2013,0.96,0.79,,
21/09/2013,1.78,0,,
20/09/2013,1.13,0.5,,
19/09/2013,1.15,0.38,,
18/09/2013,1.33,0.64,,
17/09/2013,1.03,0.59,,
16/09/2013,1.26,0.5,,
15/09/2013,1.29,0.5,,
14/09/2013,1.26,0,,
13/09/2013,0.93,0.71,,
12/09/2013,1,0.87,,
11/09/2013,1.15,0.5,,
10/09/2013,1.34,0.39,,
09/09/2013,1.56,0.31,,
08/09/2013,1.45,0,,
07/09/2013,2.77,0,,
06/09/2013,0.99,0.46,,
05/09/2013,1.54,0.49,,
04/09/2013,1.53,0.41,,
03/09/2013,1.57,0.78,,
02/09/2013,1.29,0.2,,
01/09/2013,1.6,0,,
31/08/2013,1.34,0.69,,
30/08/2013,0.94,0.62,,
29/08/2013,1.11,0.55,,
28/08/2013,1.13,0.56,,
27/08/2013,1.05,0.65,,
26/08/2013,1.29,0.66,,
25/08/2013,1.58,0.27,,
24/08/2013,0.45,1.15,,
23/08/2013,1.07,0.83,,
22/08/2013,1.39,0.52,,
21/08/2013,1.29,0.53,,
20/08/2013,1.22,0.65,,
19/08/2013,0.88,0.78,,
18/08/2013,1.09,0.66,,
17/08/2013,0.46,1.52,,
16/08/2013,0.94,0.75,,
15/08/2013,0.97,0.58,,
14/08/2013,1.03,0.63,,
13/08/2013,1.51,0.4,,
12/08/2013,0.96,0.73,,
11/08/2013,1.06,0.62,,
10/08/2013,0.09,0.96,,
09/08/2013,1.44,0.61,,
08/08/2013,0.9,0.9,,
07/08/2013,1.05,0.78,,
06/08/2013,0.57,1.23,,
